Iteration	Time	TimestepsThisBatch	PoolSize	MaxEpReturn	LastEpReturn	Episodes	TimestepsSoFar
240	3240.719045162201	1000	242000	-9.40610293086873	-3004.4890758457027	496	242000
241	3254.367166996002	1000	243000	-9.40610293086873	-3003.7250259115044	497	243000
242	3268.0504932403564	1000	244000	-9.40610293086873	-3003.60010755201	498	244000
243	3281.7087972164154	1000	245000	-9.40610293086873	-3005.822500578423	499	245000
244	3295.2122559547424	1000	246000	-9.40610293086873	-3002.3583431614015	500	246000
245	3308.82603430748	1000	247000	-9.40610293086873	-3002.9437228340503	501	247000
246	3322.3109312057495	1000	248000	-9.40610293086873	-3003.857658820884	502	248000
247	3335.787709236145	1000	249000	-9.40610293086873	-3003.43703341199	503	249000
248	3349.302290201187	1000	250000	-9.40610293086873	-3003.1797962840974	504	250000
249	3362.7571272850037	1000	251000	-9.40610293086873	-3005.9438335039445	505	251000
250	3376.2755620479584	1000	252000	-9.40610293086873	-3007.0031705362585	506	252000
251	3389.8608651161194	1000	253000	-9.40610293086873	-3004.860996190858	507	253000
252	3403.3882341384888	1000	254000	-9.40610293086873	-3006.4629224568266	508	254000
253	3417.063699245453	1000	255000	-9.40610293086873	-3005.5478321989426	509	255000
254	3430.5974032878876	1000	256000	-9.40610293086873	-3003.952781038394	510	256000
255	3444.1223652362823	1000	257000	-9.40610293086873	-3001.8714398258985	511	257000
256	3457.7370891571045	1000	258000	-9.40610293086873	-3004.0861452958425	512	258000
257	3471.244472026825	1000	259000	-9.40610293086873	-3004.29651317929	513	259000
258	3484.7528030872345	1000	260000	-9.40610293086873	-3002.6027535627136	514	260000
259	3498.2091541290283	1000	261000	-9.40610293086873	-3002.883012497246	515	261000
260	3511.706489086151	1000	262000	-9.40610293086873	-3002.597713785484	516	262000
261	3525.3592841625214	1000	263000	-9.40610293086873	-3002.483091692311	517	263000
262	3538.928586959839	1000	264000	-9.40610293086873	-3003.7329020916404	518	264000
263	3552.509275197983	1000	265000	-9.40610293086873	-3005.3727820627882	519	265000
264	3566.098845243454	1000	266000	-9.40610293086873	-3004.491518646394	520	266000
265	3579.8311512470245	1000	267000	-9.40610293086873	-3003.1836921623367	521	267000
266	3593.495356321335	1000	268000	-9.40610293086873	-3005.667702518028	522	268000
267	3607.1258511543274	1000	269000	-9.40610293086873	-3002.8385509729233	523	269000
268	3620.615987300873	1000	270000	-9.40610293086873	-3002.9502851431203	524	270000
269	3634.0474932193756	1000	271000	-9.40610293086873	-3003.0729666000516	525	271000
270	3647.504286289215	1000	272000	-9.40610293086873	-3004.569639803186	526	272000
271	3660.923070192337	1000	273000	-9.40610293086873	-3001.7689856451884	527	273000
272	3674.3411660194397	1000	274000	-9.40610293086873	-3002.5730226712426	528	274000
273	3687.7743752002716	1000	275000	-9.40610293086873	-3003.5296231709317	529	275000
274	3701.250090122223	1000	276000	-9.40610293086873	-3002.995352264164	530	276000
275	3714.754473924637	1000	277000	-9.40610293086873	-3004.3568111303402	531	277000
276	3728.1802051067352	1000	278000	-9.40610293086873	-3001.2640029343743	532	278000
277	3741.599841117859	1000	279000	-9.40610293086873	-3006.6182283445023	533	279000
278	3755.037530183792	1000	280000	-9.40610293086873	-3002.1706922827134	534	280000
279	3768.4735963344574	1000	281000	-9.40610293086873	-3004.860640211279	535	281000
280	3781.902502298355	1000	282000	-9.40610293086873	-3002.4854308779127	536	282000
281	3795.336136341095	1000	283000	-9.40610293086873	-3002.8489585388797	537	283000
282	3808.7656021118164	1000	284000	-9.40610293086873	-3003.88050720656	538	284000
283	3822.181438922882	1000	285000	-9.40610293086873	-3005.7644890666224	539	285000
284	3835.5986680984497	1000	286000	-9.40610293086873	-3002.60735121952	540	286000
285	3849.022644996643	1000	287000	-9.40610293086873	-3002.466946604093	541	287000
286	3862.4932363033295	1000	288000	-9.40610293086873	-3001.592379175876	542	288000
287	3875.923172235489	1000	289000	-9.40610293086873	-3003.954345888965	543	289000
288	3889.3700501918793	1000	290000	-9.40610293086873	-3002.360829820874	544	290000
289	3902.787098169327	1000	291000	-9.40610293086873	-3005.829299202423	545	291000
